Container, 0, 0, 0, 0, 0, 0
Variable, 3.0_to_0.1, latency, 0.000000, 0.000000, 0.000000, 0.000001
Container, 0, LINK, 0, 0, 0, 2.3_to_3.2
Variable, 2.3_to_3.2, bandwidth, 0.000000, 0.000000, 0.000000, 1000000000.000000
Variable, 2.3_to_3.2, latency, 0.000000, 0.000000, 0.000000, 0.000001
Container, 0, LINK, 0, 0, 0, 2.3_to_3.1
Variable, 2.3_to_3.1, bandwidth, 0.000000, 0.000000, 0.000000, 1000000000.000000
Variable, 2.3_to_3.1, latency, 0.000000, 0.000000, 0.000000, 0.000001
Container, 0, LINK, 0, 0, 0, 2.3_to_3.0
Variable, 2.3_to_3.0, bandwidth, 0.000000, 0.000000, 0.000000, 1000000000.000000
Variable, 2.3_to_3.0, latency, 0.000000, 0.000000, 0.000000, 0.000001
Container, 0, LINK, 0, 0, 0, 2.1_to_1.3
Variable, 2.1_to_1.3, bandwidth, 0.000000, 0.000000, 0.000000, 1000000000.000000
Variable, 2.1_to_1.3, latency, 0.000000, 0.000000, 0.000000, 0.000001
Container, 0, LINK, 0, 0, 0, 2.1_to_1.2
Variable, 2.1_to_1.2, bandwidth, 0.000000, 0.000000, 0.000000, 1000000000.000000
Variable, 2.1_to_1.2, latency, 0.000000, 0.000000, 0.000000, 0.000001
Container, 0, LINK, 0, 0, 0, 2.1_to_1.0
Variable, 2.1_to_1.0, bandwidth, 0.000000, 0.000000, 0.000000, 1000000000.000000
Variable, 2.1_to_1.0, latency, 0.000000, 0.000000, 0.000000, 0.000001
Container, 0, LINK, 0, 0, 0, 2.0_to_0.3
Variable, 2.0_to_0.3, bandwidth, 0.000000, 0.000000, 0.000000, 1000000000.000000
Variable, 2.0_to_0.3, latency, 0.000000, 0.000000, 0.000000, 0.000001
Container, 0, LINK, 0, 0, 0, 2.0_to_0.2
Variable, 2.0_to_0.2, bandwidth, 0.000000, 0.000000, 0.000000, 1000000000.000000
Variable, 2.0_to_0.2, latency, 0.000000, 0.000000, 0.000000, 0.000001
Container, 0, LINK, 0, 0, 0, 2.0_to_0.1
Variable, 2.0_to_0.1, bandwidth, 0.000000, 0.000000, 0.000000, 1000000000.000000
Variable, 2.0_to_0.1, latency, 0.000000, 0.000000, 0.000000, 0.000001
Container, 0, LINK, 0, 0, 0, 1.3_to_3.2
Variable, 1.3_to_3.2, bandwidth, 0.000000, 0.000000, 0.000000, 1000000000.000000
Variable, 1.3_to_3.2, latency, 0.000000, 0.000000, 0.000000, 0.000001
Container, 0, LINK, 0, 0, 0, 1.3_to_3.1
Variable, 1.3_to_3.1, bandwidth, 0.000000, 0.000000, 0.000000, 1000000000.000000
Variable, 1.3_to_3.1, latency, 0.000000, 0.000000, 0.000000, 0.000001
Container, 0, LINK, 0, 0, 0, 1.3_to_3.0
Variable, 1.3_to_3.0, bandwidth, 0.000000, 0.000000, 0.000000, 1000000000.000000
Variable, 1.3_to_3.0, latency, 0.000000, 0.000000, 0.000000, 0.000001
Container, 0, LINK, 0, 0, 0, 1.2_to_2.3
Variable, 1.2_to_2.3, bandwidth, 0.000000, 0.000000, 0.000000, 1000000000.000000
Variable, 1.2_to_2.3, latency, 0.000000, 0.000000, 0.000000, 0.000001
Container, 0, LINK, 0, 0, 0, 1.2_to_2.1
Variable, 1.2_to_2.1, bandwidth, 0.000000, 0.000000, 0.000000, 1000000000.000000
Variable, 1.2_to_2.1, latency, 0.000000, 0.000000, 0.000000, 0.000001
Container, 0, LINK, 0, 0, 0, 1.2_to_2.0
Variable, 1.2_to_2.0, bandwidth, 0.000000, 0.000000, 0.000000, 1000000000.000000
Variable, 1.2_to_2.0, latency, 0.000000, 0.000000, 0.000000, 0.000001
Container, 0, LINK, 0, 0, 0, 1.0_to_0.3
Variable, 1.0_to_0.3, bandwidth, 0.000000, 0.000000, 0.000000, 1000000000.000000
Variable, 1.0_to_0.3, latency, 0.000000, 0.000000, 0.000000, 0.000001
Container, 0, LINK, 0, 0, 0, 1.0_to_0.2
Variable, 1.0_to_0.2, bandwidth, 0.000000, 0.000000, 0.000000, 1000000000.000000
Variable, 1.0_to_0.2, latency, 0.000000, 0.000000, 0.000000, 0.000001
Container, 0, LINK, 0, 0, 0, 1.0_to_0.1
Variable, 1.0_to_0.1, bandwidth, 0.000000, 0.000000, 0.000000, 1000000000.000000
Variable, 1.0_to_0.1, latency, 0.000000, 0.000000, 0.000000, 0.000001
Container, 0, LINK, 0, 0, 0, 0.3_to_3.2
Variable, 0.3_to_3.2, bandwidth, 0.000000, 0.000000, 0.000000, 1000000000.000000
Variable, 0.3_to_3.2, latency, 0.000000, 0.000000, 0.000000, 0.000001
Container, 0, LINK, 0, 0, 0, 0.3_to_3.1
Variable, 0.3_to_3.1, bandwidth, 0.000000, 0.000000, 0.000000, 1000000000.000000
Variable, 0.3_to_3.1, latency, 0.000000, 0.000000, 0.000000, 0.000001
Container, 0, LINK, 0, 0, 0, 0.3_to_3.0
Variable, 0.3_to_3.0, bandwidth, 0.000000, 0.000000, 0.000000, 1000000000.000000
Variable, 0.3_to_3.0, latency, 0.000000, 0.000000, 0.000000, 0.000001
Container, 0, LINK, 0, 0, 0, 0.2_to_2.3
Variable, 0.2_to_2.3, bandwidth, 0.000000, 0.000000, 0.000000, 1000000000.000000
Variable, 0.2_to_2.3, latency, 0.000000, 0.000000, 0.000000, 0.000001
Container, 0, LINK, 0, 0, 0, 0.2_to_2.1
Variable, 0.2_to_2.1, bandwidth, 0.000000, 0.000000, 0.000000, 1000000000.000000
Variable, 0.2_to_2.1, latency, 0.000000, 0.000000, 0.000000, 0.000001
Container, 0, LINK, 0, 0, 0, 0.2_to_2.0
Variable, 0.2_to_2.0, bandwidth, 0.000000, 0.000000, 0.000000, 1000000000.000000
Variable, 0.2_to_2.0, latency, 0.000000, 0.000000, 0.000000, 0.000001
Container, 0, LINK, 0, 0, 0, 0.1_to_1.3
Variable, 0.1_to_1.3, bandwidth, 0.000000, 0.000000, 0.000000, 1000000000.000000
Variable, 0.1_to_1.3, latency, 0.000000, 0.000000, 0.000000, 0.000001
Container, 0, LINK, 0, 0, 0, 0.1_to_1.2
Variable, 0.1_to_1.2, bandwidth, 0.000000, 0.000000, 0.000000, 1000000000.000000
Variable, 0.1_to_1.2, latency, 0.000000, 0.000000, 0.000000, 0.000001
Container, 0, LINK, 0, 0, 0, 0.1_to_1.0
Variable, 0.1_to_1.0, bandwidth, 0.000000, 0.000000, 0.000000, 1000000000.000000
Variable, 0.1_to_1.0, latency, 0.000000, 0.000000, 0.000000, 0.000001
Container, 0, MPI, 0, 0, 0, rank-11
State, rank-11, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
Container, 0, MPI, 0, 0, 0, rank-10
State, rank-10, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
Container, 0, MPI, 0, 0, 0, rank-9
State, rank-9, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
Container, 0, MPI, 0, 0, 0, rank-8
State, rank-8, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
Container, 0, MPI, 0, 0, 0, rank-7
State, rank-7, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
Container, 0, MPI, 0, 0, 0, rank-6
State, rank-6, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
Container, 0, MPI, 0, 0, 0, rank-5
State, rank-5, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
Container, 0, MPI, 0, 0, 0, rank-4
State, rank-4, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
Container, 0, MPI, 0, 0, 0, rank-3
State, rank-3, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
Container, 0, MPI, 0, 0, 0, rank-2
State, rank-2, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
Container, 0, MPI, 0, 0, 0, rank-1
State, rank-1, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
Container, 0, MPI, 0, 0, 0, rank-0
State, rank-0, MPI_STATE, 0.000000, 0.000000, 0.000000, 0.000000, PMPI_Init
